id,target_name,start_date,end_date,national,units,territory,ce area,zone_id,db_id,db_code,db_name,sku_id,sku_code,sku_name,TargetQty(Case),TargetQty(Pcs)
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,1,2,Pepsi 207 ml (GRB),898,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,2,1,Pepsi 250 ml (GRB),64,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,3,161,Pepsi 500 ml (PET),1455,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,4,176,Pepsi 400 ml (PET),539,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,5,75,Pepsi 1000 ml (PET),211,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,6,129,Pepsi 250 ml (PET),2691,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,7,169,Pepsi 250 ml (CAN),0,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,8,10,Pepsi Diet 500 ml (PET),41,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,9,170,Pepsi Diet 250 ml (CAN),0,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,10,22,MOrange200(GRB),378,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,11,26,Mirinda Orange 500 ml (PET),4145,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,12,178,Mirinda Orange 400 ml (PET),0,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,13,131,Mirinda Orange 250 ml (PET),44,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,14,172,Mirinda Orange 250 ml (CAN),0,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,15,77,Mirinda Orange 1000 ml (PET),704,
42,17-Apr,01-04-17,30-04-17,National,Dhaka North Unit,TDM Dhaka North ,CE_Kuril,26,1,100000424,Al-Biruni Corporation Ltd.,16,12,7up 207 ml (GRB),498,
